,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2023-02-23,12:13:26.652,  247.43,  282.56,    0.00,    0.00,,,,,,,,,  221.23,  269.48,    0.00,    0.00,,,,,,,,,  468.66,  552.03,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1020.69,  112.31,  116.80,    0.00,    0.00,  100.05,  109.07,    0.00,    0.00,,,,,  102.22,  109.73,    0.00,    0.00,   96.35,  105.87,    0.00,    0.00,,,,,  410.93,  441.46,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  852.39,    879.59,    993.49,      0.00,      0.00,    879.59,    993.49,   1873.08
2023-02-23,12:13:26.660,   79.88,   46.96,    0.00,    0.00,,,,,,,,,   77.03,   44.08,    0.00,    0.00,,,,,,,,,  156.91,   91.03,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,  247.94,   23.35,   33.77,    0.00,    0.00,   17.15,   30.37,    0.00,    0.00,,,,,   16.22,   30.01,    0.00,    0.00,   12.88,   26.02,    0.00,    0.00,,,,,   69.60,  120.17,    0.00,    0.00,    0.98,    1.00,    0.00,    0.00,  189.77,    226.51,    211.20,      0.00,      0.00,    226.51,    211.20,    437.71
2023-02-23,12:13:26.671,   79.19,   36.16,    0.00,    0.00,,,,,,,,,   76.34,   33.00,    0.00,    0.00,,,,,,,,,  155.53,   69.16,    0.00,    0.00,    0.97,    0.97,    0.00,    0.00,  224.70,   28.08,   42.39,    0.00,    0.00,   22.44,   40.12,    0.00,    0.00,,,,,   22.09,   39.85,    0.00,    0.00,   21.45,   39.98,    0.00,    0.00,,,,,   94.07,  162.34,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  256.41,    249.60,    231.51,      0.00,      0.00,    249.60,    231.51,    481.11
2023-02-23,12:13:26.681,   99.73,   50.39,    0.00,    0.00,,,,,,,,,   94.28,   45.60,    0.00,    0.00,,,,,,,,,  194.01,   95.99,    0.00,    0.00,    0.92,    0.94,    0.00,    0.00,  290.00,   46.31,   38.25,    0.00,    0.00,   39.97,   35.95,    0.00,    0.00,,,,,   40.61,   36.63,    0.00,    0.00,   36.72,   33.56,    0.00,    0.00,,,,,  163.61,  144.39,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  308.00,    357.62,    240.38,      0.00,      0.00,    357.62,    240.38,    598.00
2023-02-23,12:13:26.690,   46.29,   40.45,    0.00,    0.00,,,,,,,,,   41.77,   38.21,    0.00,    0.00,,,,,,,,,   88.06,   78.66,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,  166.73,   27.35,   25.16,    0.00,    0.00,   24.89,   23.55,    0.00,    0.00,,,,,   24.52,   23.12,    0.00,    0.00,   23.17,   21.20,    0.00,    0.00,,,,,   99.94,   93.03,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  192.97,    188.00,    171.69,      0.00,      0.00,    188.00,    171.69,    359.69
2023-02-23,12:13:26.701,   72.83,   74.53,    0.00,    0.00,,,,,,,,,   58.58,   62.06,    0.00,    0.00,,,,,,,,,  131.40,  136.60,    0.00,    0.00,    0.97,    0.98,    0.00,    0.00,  268.00,   36.68,   44.65,    0.00,    0.00,   29.33,   39.32,    0.00,    0.00,,,,,   23.96,   34.41,    0.00,    0.00,   24.93,   33.65,    0.00,    0.00,,,,,  114.90,  152.02,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  266.92,    246.30,    288.61,      0.00,      0.00,    246.30,    288.61,    534.92
2023-02-23,12:13:26.720,   60.10,   37.19,    0.00,    0.00,,,,,,,,,   49.18,   28.47,    0.00,    0.00,,,,,,,,,  109.29,   65.66,    0.00,    0.00,    0.98,    0.99,    0.00,    0.00,  174.95,   26.10,   19.62,    0.00,    0.00,   27.30,   23.60,    0.00,    0.00,,,,,   18.26,   13.24,    0.00,    0.00,   17.84,   12.99,    0.00,    0.00,,,,,   89.50,   69.45,    0.00,    0.00,    1.01,    0.99,    0.00,    0.00,  158.94,    198.78,    135.11,      0.00,      0.00,    198.78,    135.11,    333.89
2023-02-23,12:13:26.721,   22.34,   20.54,    0.00,    0.00,,,,,,,,,   17.34,   16.19,    0.00,    0.00,,,,,,,,,   39.69,   36.72,    0.00,    0.00,    0.97,    0.97,    0.00,    0.00,   76.41,   23.49,   16.57,    0.00,    0.00,   27.12,   21.78,    0.00,    0.00,,,,,   17.15,   10.21,    0.00,    0.00,   16.75,    9.84,    0.00,    0.00,,,,,   84.51,   58.41,    0.00,    0.00,    0.93,    0.97,    0.00,    0.00,  142.91,    124.19,     95.13,      0.00,      0.00,    124.19,     95.13,    219.32
2023-02-23,12:13:26.730,   21.38,   14.68,    0.00,    0.00,,,,,,,,,   16.84,   11.46,    0.00,    0.00,,,,,,,,,   38.22,   26.14,    0.00,    0.00,    0.97,    0.96,    0.00,    0.00,   64.36,   29.75,   19.38,    0.00,    0.00,   29.74,   20.82,    0.00,    0.00,,,,,   24.87,   16.09,    0.00,    0.00,   24.04,   16.36,    0.00,    0.00,,,,,  108.40,   72.65,    0.00,    0.00,    0.90,    0.98,    0.00,    0.00,  181.04,    146.62,     98.79,      0.00,      0.00,    146.62,     98.79,    245.41
