,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2023-02-23,12:14:59.749,  121.43,  178.91,    0.00,    0.00,,,,,,,,,   94.08,  168.65,    0.00,    0.00,,,,,,,,,  215.52,  347.56,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  563.08,   87.69,   84.56,    0.00,    0.00,   81.79,   79.57,    0.00,    0.00,,,,,   83.36,   80.84,    0.00,    0.00,   77.64,   75.51,    0.00,    0.00,,,,,  330.48,  320.49,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  650.97,    545.99,    668.05,      0.00,      0.00,    545.99,    668.05,   1214.04
2023-02-23,12:14:59.758,   58.11,   65.50,    0.00,    0.00,,,,,,,,,   52.52,   62.04,    0.00,    0.00,,,,,,,,,  110.64,  127.54,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  238.18,   27.37,   17.67,    0.00,    0.00,   22.74,   15.31,    0.00,    0.00,,,,,   23.29,   15.47,    0.00,    0.00,   21.06,   14.66,    0.00,    0.00,,,,,   94.46,   63.10,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  157.57,    205.10,    190.64,      0.00,      0.00,    205.10,    190.64,    395.74
2023-02-23,12:14:59.769,   27.86,   27.79,    0.00,    0.00,,,,,,,,,   23.87,   23.54,    0.00,    0.00,,,,,,,,,   51.73,   51.33,    0.00,    0.00,    0.94,    0.95,    0.00,    0.00,  103.06,   12.19,   14.96,    0.00,    0.00,    8.82,   12.30,    0.00,    0.00,,,,,    7.03,   11.04,    0.00,    0.00,    6.55,   11.72,    0.00,    0.00,,,,,   34.59,   50.02,    0.00,    0.00,    0.95,    0.98,    0.00,    0.00,   84.61,     86.32,    101.35,      0.00,      0.00,     86.32,    101.35,    187.68
2023-02-23,12:14:59.779,   43.66,   34.75,    0.00,    0.00,,,,,,,,,   40.36,   32.05,    0.00,    0.00,,,,,,,,,   84.02,   66.80,    0.00,    0.00,    0.99,    1.00,    0.00,    0.00,  150.82,   50.08,   35.11,    0.00,    0.00,   44.27,   32.02,    0.00,    0.00,,,,,   44.15,   31.62,    0.00,    0.00,   41.99,   29.28,    0.00,    0.00,,,,,  180.49,  128.04,    0.00,    0.00,    0.98,    0.99,    0.00,    0.00,  308.53,    264.51,    194.84,      0.00,      0.00,    264.51,    194.84,    459.35
2023-02-23,12:14:59.788,   57.18,   47.96,    0.00,    0.00,,,,,,,,,   53.16,   46.40,    0.00,    0.00,,,,,,,,,  110.34,   94.36,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,  204.70,   26.46,   24.39,    0.00,    0.00,   23.63,   22.57,    0.00,    0.00,,,,,   21.67,   21.13,    0.00,    0.00,   21.96,   19.97,    0.00,    0.00,,,,,   93.73,   88.06,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  181.79,    204.06,    182.42,      0.00,      0.00,    204.06,    182.42,    386.48
2023-02-23,12:14:59.799,   50.19,   45.81,    0.00,    0.00,,,,,,,,,   38.54,   34.92,    0.00,    0.00,,,,,,,,,   88.73,   80.74,    0.00,    0.00,    0.95,    0.96,    0.00,    0.00,  169.47,   26.12,   31.76,    0.00,    0.00,   21.60,   28.19,    0.00,    0.00,,,,,   16.26,   24.52,    0.00,    0.00,   16.92,   23.98,    0.00,    0.00,,,,,   80.90,  108.45,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,  189.34,    169.63,    189.18,      0.00,      0.00,    169.63,    189.18,    358.81
2023-02-23,12:14:59.816,   49.71,   25.06,    0.00,    0.00,,,,,,,,,   42.79,   19.99,    0.00,    0.00,,,,,,,,,   92.50,   45.05,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,  137.55,   27.24,   21.55,    0.00,    0.00,   28.25,   25.68,    0.00,    0.00,,,,,   19.00,   14.70,    0.00,    0.00,   18.05,   13.70,    0.00,    0.00,,,,,   92.54,   75.63,    0.00,    0.00,    1.00,    0.98,    0.00,    0.00,  168.17,    185.04,    120.68,      0.00,      0.00,    185.04,    120.68,    305.72
2023-02-23,12:14:59.821,   34.99,   32.11,    0.00,    0.00,,,,,,,,,   24.30,   21.96,    0.00,    0.00,,,,,,,,,   59.29,   54.07,    0.00,    0.00,    0.95,    0.95,    0.00,    0.00,  113.36,   35.78,   22.21,    0.00,    0.00,   37.79,   28.04,    0.00,    0.00,,,,,   27.98,   15.55,    0.00,    0.00,   27.29,   14.90,    0.00,    0.00,,,,,  128.84,   80.70,    0.00,    0.00,    0.95,    0.98,    0.00,    0.00,  209.54,    188.13,    134.76,      0.00,      0.00,    188.13,    134.76,    322.89
2023-02-23,12:14:59.828,   27.96,   20.70,    0.00,    0.00,,,,,,,,,   21.43,   15.19,    0.00,    0.00,,,,,,,,,   49.39,   35.89,    0.00,    0.00,    0.97,    0.97,    0.00,    0.00,   85.28,   33.27,   26.07,    0.00,    0.00,   31.07,   26.69,    0.00,    0.00,,,,,   28.04,   21.38,    0.00,    0.00,   25.09,   20.79,    0.00,    0.00,,,,,  117.47,   94.94,    0.00,    0.00,    0.91,    0.98,    0.00,    0.00,  212.40,    166.85,    130.83,      0.00,      0.00,    166.85,    130.83,    297.68
