,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2023-02-23,07:30:50.744,  277.64,  216.67,    0.00,    0.00,,,,,,,,,  234.94,  181.92,    0.00,    0.00,,,,,,,,,  512.58,  398.60,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  911.17,  996.77, 1342.79,    0.00,    0.00,  896.59, 1302.99,    0.00,    0.00,,,,,  882.12, 1287.15,    0.00,    0.00,  863.34, 1280.47,    0.00,    0.00,,,,, 3638.82, 5213.41,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 8852.22,   4151.40,   5612.00,      0.00,      0.00,   4151.40,   5612.00,   9763.40
2023-02-23,07:30:50.841,  171.84,   90.49,    0.00,    0.00,,,,,,,,,  151.69,   73.12,    0.00,    0.00,,,,,,,,,  323.53,  163.61,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  487.14,  977.41, 1262.35,    0.00,    0.00,  901.29, 1239.24,    0.00,    0.00,,,,,  895.98, 1231.02,    0.00,    0.00,  877.70, 1223.99,    0.00,    0.00,,,,, 3652.37, 4956.61,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 8608.98,   3975.90,   5120.22,      0.00,      0.00,   3975.90,   5120.22,   9096.12
2023-02-23,07:30:50.942,  137.71,   55.93,    0.00,    0.00,,,,,,,,,  122.88,   43.11,    0.00,    0.00,,,,,,,,,  260.58,   99.04,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00,  359.63, 1013.81, 1209.80,    0.00,    0.00,  960.08, 1199.79,    0.00,    0.00,,,,,  951.45, 1190.01,    0.00,    0.00,  941.49, 1189.62,    0.00,    0.00,,,,, 3866.82, 4789.22,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 8656.04,   4127.40,   4888.27,      0.00,      0.00,   4127.40,   4888.27,   9015.67
2023-02-23,07:30:51.042,   85.21,   37.87,    0.00,    0.00,,,,,,,,,   72.24,   27.91,    0.00,    0.00,,,,,,,,,  157.45,   65.78,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  223.22, 1113.10, 1239.23,    0.00,    0.00, 1067.82, 1227.23,    0.00,    0.00,,,,, 1061.72, 1221.34,    0.00,    0.00, 1049.60, 1214.54,    0.00,    0.00,,,,, 4292.25, 4902.35,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 9194.59,   4449.69,   4968.12,      0.00,      0.00,   4449.69,   4968.12,   9417.81
2023-02-23,07:30:51.142,  175.49,   98.18,    0.00,    0.00,,,,,,,,,  146.21,   76.20,    0.00,    0.00,,,,,,,,,  321.70,  174.38,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  496.07, 1537.24, 1632.49,    0.00,    0.00, 1438.84, 1600.40,    0.00,    0.00,,,,, 1440.04, 1598.07,    0.00,    0.00, 1410.15, 1581.38,    0.00,    0.00,,,,, 5826.27, 6412.35,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,12238.61,   6147.96,   6586.72,      0.00,      0.00,   6147.96,   6586.72,  12734.69
2023-02-23,07:30:51.241,  238.18,  162.03,    0.00,    0.00,,,,,,,,,  205.38,  135.29,    0.00,    0.00,,,,,,,,,  443.56,  297.32,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  740.88, 1360.63, 1526.10,    0.00,    0.00, 1261.80, 1487.36,    0.00,    0.00,,,,, 1262.43, 1482.92,    0.00,    0.00, 1231.09, 1463.62,    0.00,    0.00,,,,, 5115.95, 5959.99,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,11075.94,   5559.51,   6257.31,      0.00,      0.00,   5559.51,   6257.31,  11816.82
2023-02-23,07:30:51.341,  126.43,   94.86,    0.00,    0.00,,,,,,,,,  107.19,   78.34,    0.00,    0.00,,,,,,,,,  233.61,  173.20,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  406.81,  556.45,  651.09,    0.00,    0.00,  507.49,  630.51,    0.00,    0.00,,,,,  498.75,  623.27,    0.00,    0.00,  480.39,  606.50,    0.00,    0.00,,,,, 2043.08, 2511.38,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 4554.46,   2276.69,   2684.58,      0.00,      0.00,   2276.69,   2684.58,   4961.27
2023-02-23,07:30:51.441,   57.98,   45.12,    0.00,    0.00,,,,,,,,,   49.81,   38.29,    0.00,    0.00,,,,,,,,,  107.79,   83.42,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00,  191.21,  404.50,  499.68,    0.00,    0.00,  329.79,  468.38,    0.00,    0.00,,,,,  341.42,  473.13,    0.00,    0.00,  314.43,  452.40,    0.00,    0.00,,,,, 1390.14, 1893.59,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 3283.73,   1497.93,   1977.00,      0.00,      0.00,   1497.93,   1977.00,   3474.93
2023-02-23,07:30:51.542,   92.32,   71.05,    0.00,    0.00,,,,,,,,,   82.13,   63.09,    0.00,    0.00,,,,,,,,,  174.46,  134.15,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  308.60,  651.43,  774.84,    0.00,    0.00,  576.44,  755.12,    0.00,    0.00,,,,,  581.39,  751.05,    0.00,    0.00,  549.73,  732.58,    0.00,    0.00,,,,, 2359.00, 3013.60,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 5372.60,   2533.45,   3147.74,      0.00,      0.00,   2533.45,   3147.74,   5681.20
