,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2023-02-23,12:16:17.644,   98.16,  331.49,    0.00,    0.00,,,,,,,,,   65.87,  323.49,    0.00,    0.00,,,,,,,,,  164.03,  654.98,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  819.00,  369.55,  115.92,    0.00,    0.00,  330.60,  107.36,    0.00,    0.00,,,,,  365.69,  114.13,    0.00,    0.00,  321.16,   99.09,    0.00,    0.00,,,,, 1387.01,  436.50,    0.00,    0.00,    1.00,    0.98,    0.00,    0.00, 1823.51,   1551.04,   1091.48,      0.00,      0.00,   1551.04,   1091.48,   2642.51
2023-02-23,12:16:17.654,   18.56,  336.24,    0.00,    0.00,,,,,,,,,   14.41,  338.15,    0.00,    0.00,,,,,,,,,   32.97,  674.39,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,  707.36,  983.00,   93.20,    0.00,    0.00,  971.69,   94.66,    0.00,    0.00,,,,,  991.48,  101.82,    0.00,    0.00,  945.91,   80.58,    0.00,    0.00,,,,, 3892.08,  370.26,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 4262.34,   3925.04,   1044.65,      0.00,      0.00,   3925.04,   1044.65,   4969.70
2023-02-23,12:16:17.663,   23.10,  112.83,    0.00,    0.00,,,,,,,,,   18.76,  110.50,    0.00,    0.00,,,,,,,,,   41.86,  223.33,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,  265.20, 1242.14,   86.21,    0.00,    0.00, 1249.61,   86.95,    0.00,    0.00,,,,, 1236.02,   75.21,    0.00,    0.00, 1228.55,   75.81,    0.00,    0.00,,,,, 4956.31,  324.18,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5280.49,   4998.18,    547.51,      0.00,      0.00,   4998.18,    547.51,   5545.69
2023-02-23,12:16:17.674,   54.60,   16.15,    0.00,    0.00,,,,,,,,,   50.58,   13.78,    0.00,    0.00,,,,,,,,,  105.19,   29.93,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  135.12, 1254.88,   97.41,    0.00,    0.00, 1247.84,   85.14,    0.00,    0.00,,,,, 1248.82,   80.13,    0.00,    0.00, 1237.88,   80.43,    0.00,    0.00,,,,, 4989.43,  343.11,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5332.54,   5094.62,    373.04,      0.00,      0.00,   5094.62,    373.04,   5467.65
2023-02-23,12:16:17.685,   20.97,    8.53,    0.00,    0.00,,,,,,,,,   17.08,    5.84,    0.00,    0.00,,,,,,,,,   38.05,   14.37,    0.00,    0.00,    0.98,    0.90,    0.00,    0.00,   52.42, 1321.51,  103.32,    0.00,    0.00, 1332.70,  100.14,    0.00,    0.00,,,,, 1322.10,   92.72,    0.00,    0.00, 1306.68,   83.81,    0.00,    0.00,,,,, 5283.00,  380.00,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5663.00,   5321.04,    394.37,      0.00,      0.00,   5321.04,    394.37,   5715.42
2023-02-23,12:16:17.694,   18.81,    7.62,    0.00,    0.00,,,,,,,,,   12.38,    4.98,    0.00,    0.00,,,,,,,,,   31.19,   12.60,    0.00,    0.00,    0.75,    0.84,    0.00,    0.00,   43.80, 1371.46,   82.75,    0.00,    0.00, 1367.02,   69.57,    0.00,    0.00,,,,, 1358.31,   59.72,    0.00,    0.00, 1355.87,   61.08,    0.00,    0.00,,,,, 5452.65,  273.13,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5725.78,   5483.85,    285.73,      0.00,      0.00,   5483.85,    285.73,   5769.57
2023-02-23,12:16:17.704,   80.08,   12.38,    0.00,    0.00,,,,,,,,,   75.71,   10.28,    0.00,    0.00,,,,,,,,,  155.80,   22.66,    0.00,    0.00,    0.99,    1.00,    0.00,    0.00,  178.46, 1275.63,   86.07,    0.00,    0.00, 1286.84,   86.68,    0.00,    0.00,,,,, 1274.91,   79.07,    0.00,    0.00, 1263.67,   64.08,    0.00,    0.00,,,,, 5101.06,  315.90,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5416.95,   5256.85,    338.56,      0.00,      0.00,   5256.85,    338.56,   5595.41
2023-02-23,12:16:17.715,   41.43,   14.79,    0.00,    0.00,,,,,,,,,   38.05,   12.85,    0.00,    0.00,,,,,,,,,   79.48,   27.64,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  107.12, 1403.96,  104.98,    0.00,    0.00, 1401.14,   84.94,    0.00,    0.00,,,,, 1405.76,   94.76,    0.00,    0.00, 1367.68,   65.31,    0.00,    0.00,,,,, 5578.54,  349.98,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5928.52,   5658.02,    377.63,      0.00,      0.00,   5658.02,    377.63,   6035.65
2023-02-23,12:16:17.724,   12.45,    9.02,    0.00,    0.00,,,,,,,,,    8.98,    6.46,    0.00,    0.00,,,,,,,,,   21.43,   15.48,    0.00,    0.00,    0.96,    0.96,    0.00,    0.00,   36.91, 1157.06,   85.23,    0.00,    0.00, 1192.46,  115.85,    0.00,    0.00,,,,, 1165.61,   83.21,    0.00,    0.00, 1163.60,   84.82,    0.00,    0.00,,,,, 4678.73,  369.11,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5047.84,   4700.17,    384.58,      0.00,      0.00,   4700.17,    384.58,   5084.75
